date,product_id,product_name,demand,promotion
2024-01-01,P01,Wireless Mouse,46,0
2024-01-02,P01,Wireless Mouse,46,0
2024-01-03,P01,Wireless Mouse,59,0
2024-01-04,P01,Wireless Mouse,43,0
2024-01-05,P01,Wireless Mouse,47,0
2024-01-06,P01,Wireless Mouse,47,0
2024-01-07,P01,Wireless Mouse,55,0
2024-01-08,P01,Wireless Mouse,44,0
2024-01-09,P01,Wireless Mouse,37,0
2024-01-10,P01,Wireless Mouse,34,0
2024-01-11,P01,Wireless Mouse,35,0
2024-01-12,P01,Wireless Mouse,49,0
2024-01-13,P01,Wireless Mouse,60,0
2024-01-14,P01,Wireless Mouse,54,0
2024-01-15,P01,Wireless Mouse,34,0
2024-01-16,P01,Wireless Mouse,40,0
2024-01-17,P01,Wireless Mouse,40,0
2024-01-18,P01,Wireless Mouse,42,0
2024-01-19,P01,Wireless Mouse,50,0
2024-01-20,P01,Wireless Mouse,57,0
2024-01-21,P01,Wireless Mouse,56,0
2024-01-22,P01,Wireless Mouse,39,0
2024-01-23,P01,Wireless Mouse,40,0
2024-01-24,P01,Wireless Mouse,43,0
2024-01-25,P01,Wireless Mouse,32,0
2024-01-26,P01,Wireless Mouse,43,0
2024-01-27,P01,Wireless Mouse,52,0
2024-01-28,P01,Wireless Mouse,47,0
2024-01-29,P01,Wireless Mouse,38,0
2024-01-30,P01,Wireless Mouse,48,0
2024-01-31,P01,Wireless Mouse,35,0
2024-02-01,P01,Wireless Mouse,47,0
2024-02-02,P01,Wireless Mouse,34,0
2024-02-03,P01,Wireless Mouse,53,0
2024-02-04,P01,Wireless Mouse,53,0
2024-02-05,P01,Wireless Mouse,43,0
2024-02-06,P01,Wireless Mouse,44,0
2024-02-07,P01,Wireless Mouse,46,0
2024-02-08,P01,Wireless Mouse,40,0
2024-02-09,P01,Wireless Mouse,43,0
2024-02-10,P01,Wireless Mouse,64,0
2024-02-11,P01,Wireless Mouse,51,0
2024-02-12,P01,Wireless Mouse,33,0
2024-02-13,P01,Wireless Mouse,33,0
2024-02-14,P01,Wireless Mouse,36,0
2024-02-15,P01,Wireless Mouse,46,0
2024-02-16,P01,Wireless Mouse,48,0
2024-02-17,P01,Wireless Mouse,64,0
2024-02-18,P01,Wireless Mouse,50,0
2024-02-19,P01,Wireless Mouse,42,0
2024-02-20,P01,Wireless Mouse,45,0
2024-02-21,P01,Wireless Mouse,40,0
2024-02-22,P01,Wireless Mouse,46,0
2024-02-23,P01,Wireless Mouse,43,0
2024-02-24,P01,Wireless Mouse,56,0
2024-02-25,P01,Wireless Mouse,51,0
2024-02-26,P01,Wireless Mouse,34,0
2024-02-27,P01,Wireless Mouse,45,0
2024-02-28,P01,Wireless Mouse,40,0
2024-02-29,P01,Wireless Mouse,44,0
2024-03-01,P01,Wireless Mouse,52,0
2024-03-02,P01,Wireless Mouse,104,1
2024-03-03,P01,Wireless Mouse,75,1
2024-03-04,P01,Wireless Mouse,49,1
2024-03-05,P01,Wireless Mouse,45,1
2024-03-06,P01,Wireless Mouse,77,1
2024-03-07,P01,Wireless Mouse,67,1
2024-03-08,P01,Wireless Mouse,79,1
2024-03-09,P01,Wireless Mouse,83,1
2024-03-10,P01,Wireless Mouse,68,1
2024-03-11,P01,Wireless Mouse,41,0
2024-03-12,P01,Wireless Mouse,48,0
2024-03-13,P01,Wireless Mouse,33,0
2024-03-14,P01,Wireless Mouse,48,0
2024-03-15,P01,Wireless Mouse,52,0
2024-03-16,P01,Wireless Mouse,56,0
2024-03-17,P01,Wireless Mouse,45,0
2024-03-18,P01,Wireless Mouse,44,0
2024-03-19,P01,Wireless Mouse,40,0
2024-03-20,P01,Wireless Mouse,46,0
2024-03-21,P01,Wireless Mouse,46,0
2024-03-22,P01,Wireless Mouse,63,0
2024-03-23,P01,Wireless Mouse,61,0
2024-03-24,P01,Wireless Mouse,49,0
2024-03-25,P01,Wireless Mouse,46,0
2024-03-26,P01,Wireless Mouse,46,0
2024-03-27,P01,Wireless Mouse,55,0
2024-03-28,P01,Wireless Mouse,53,0
2024-03-29,P01,Wireless Mouse,55,0
2024-03-30,P01,Wireless Mouse,78,0
2024-03-31,P01,Wireless Mouse,49,0
2024-04-01,P01,Wireless Mouse,41,0
2024-04-02,P01,Wireless Mouse,71,1
2024-04-03,P01,Wireless Mouse,73,1
2024-04-04,P01,Wireless Mouse,49,1
2024-04-05,P01,Wireless Mouse,82,1
2024-04-06,P01,Wireless Mouse,73,0
2024-04-07,P01,Wireless Mouse,78,0
2024-04-08,P01,Wireless Mouse,66,0
2024-04-09,P01,Wireless Mouse,49,0
2024-04-10,P01,Wireless Mouse,40,0
2024-04-11,P01,Wireless Mouse,33,0
2024-04-12,P01,Wireless Mouse,56,0
2024-04-13,P01,Wireless Mouse,58,0
