product_id,product_name,avg_daily_demand,std_daily_demand,annual_demand,EOQ,safety_stock,reorder_point,starting_inventory
P01,Wireless Mouse,61.7,17.48,22519.0,612.63,64.29,372.77,431.87
P02,Bluetooth Speaker,45.35,17.12,16552.5,525.24,62.98,289.72,317.45
P03,USB-C Cable,116.49,29.23,42520.5,841.83,107.51,689.99,815.46
P04,Laptop Backpack,27.35,8.77,9982.0,407.88,32.26,169.0,191.44
P05,Smart Watch,25.12,11.15,9168.0,390.9,41.01,166.6,175.82
P06,Power Bank 10000mAh,49.08,15.35,17914.5,546.42,56.48,301.88,343.57
P07,Mechanical Keyboard,15.77,5.03,5755.0,309.7,18.51,97.34,110.37
P08,LED Desk Lamp,23.37,6.41,8530.5,377.06,23.57,140.42,163.6
P09,Phone Case,92.6,22.94,33798.5,750.54,84.39,547.39,648.19
P10,Wireless Earbuds,63.26,28.32,23089.0,620.34,104.15,420.44,442.8
