product_id,product_name,baseline_MAE,ml_MAE,baseline_RMSE,ml_RMSE,baseline_MAPE,ml_MAPE,mae_improvement_pct
P01,Wireless Mouse,16.657,11.978,20.692,14.823,22.744,15.702,28.09
P02,Bluetooth Speaker,16.526,14.334,20.303,16.917,34.659,28.625,13.264
P03,USB-C Cable,21.312,14.751,26.606,18.867,16.334,11.522,30.787
P04,Laptop Backpack,7.369,6.666,9.083,7.783,23.649,20.841,9.543
P05,Smart Watch,8.521,8.976,11.103,11.401,34.033,37.374,-5.336
P06,Power Bank 10000mAh,14.198,9.793,18.191,12.036,25.196,17.376,31.023
P07,Mechanical Keyboard,4.84,3.766,6.139,4.793,30.161,24.623,22.2
P08,LED Desk Lamp,5.964,4.661,7.514,6.089,22.671,17.876,21.854
P09,Phone Case,18.236,12.486,24.261,15.933,17.695,12.444,31.528
P10,Wireless Earbuds,29.157,23.277,37.631,31.005,42.679,31.713,20.166
