product_id,product_name,sim_days,stockout_days_before,stockout_days_after,stockout_units_before,stockout_units_after,service_level_before_pct,service_level_after_pct,stockout_day_reduction_pct
P01,Wireless Mouse,60,2,1,95.34313681240144,16.34313681240144,96.67,98.33,50.0
P02,Bluetooth Speaker,60,1,0,4.078711975114743,0.0,98.33,100.0,100.0
P03,USB-C Cable,60,2,1,30.709988859028385,27.538356164383572,96.67,98.33,50.0
P04,Laptop Backpack,60,2,2,59.56438356164384,59.56438356164384,96.67,96.67,0.0
P05,Smart Watch,60,3,2,61.27893675191214,61.1753424657534,95.0,96.67,33.3
P06,Power Bank 10000mAh,60,1,0,19.014078572732842,0.0,98.33,100.0,100.0
P07,Mechanical Keyboard,60,1,0,0.9259770745128435,0.0,98.33,100.0,100.0
P08,LED Desk Lamp,60,1,0,24.34036684095622,0.0,98.33,100.0,100.0
P09,Phone Case,60,4,0,213.11611190586177,0.0,93.33,100.0,100.0
P10,Wireless Earbuds,60,7,2,299.1894687803422,94.19726027397263,88.33,96.67,71.4
